category,code
Colin James,1249
Collective Soul,1250
Colleen,1251
Collin Raye,1252
Colony House,1253
Colt Ford,1254
Colter Wall,1255
Colton Dixon,1256
Comethazine,1257
Commander Cody and His Lost Planet Airmen,1258
Common,1259
Compay Segundo,1260
Computer Says No,1261
Con Funk Shun,1262
Confederate Railroad,1263
Conlon Nancarrow,1264
Connie Kay,1265
Conquering Dystopia,1266
Control Machete,1267
Conway Twitty,1268
Cool Company,1269
Cooliecut,1270
Coolio,1271
Corb Lund,1272
Corey Harris,1273
Corey Hart,1274
Corey Kent White,1275
Corey Smith,1276
Cormega,1277
Corrosion Of Conformity,1278
Cortes,1279
Cortex,1280
Cory Henry,1281
Cory Morrow,1282
CoryaYo,1283
Cosculluela,1284
Cosmo Pyke,1285
Coss,1286
Count Basic,1287
Count Basie,1288
Count Bass D,1289
Count Five,1290
Counting Crows,1291
Country Joe & The Fish,1292
Courtney Barnett,1293
Courtney Pine,1294
Cousin Stizz,1295
Cowboy Junkies,1296
Cozz,1297
Cracker,1298
Craig Campbell,1299
Craig David,1300
Craig Mack,1301
Craig Morgan,1302
Craig Xen,1303
Crash Kings,1304
Crash Test Dummies,1305
Crazy P,1306
Crazy Town,1307
Cream,1308
Creed,1309
Creedence Clearwater Revival,1310
Creek Boyz,1311
Cris Cab,1312
Cris Delanno,1313
Cristian Castro,1314
Croosh,1315
"Crosby, Stills & Nash",1316
"Crosby, Stills, Nash & Young",1317
Cross Canadian Ragweed,1318
Crossfade,1319
Crowded House,1320
Crowder,1321
Crucifix,1322
Crumb,1323
Cryptic Wisdom,1324
Crystal Castles,1325
Crystal Fighters,1326
Crystal Shawanda,1327
Cub Sport,1328
Cult To Follow,1329
Cults,1330
Cultura Profética,1331
Culture Abuse,1332
Culture Club,1333
Cunninlynguists,1334
Curren$y,1335
Current Joys,1336
Curtis (冷炫忱),1337
Curtis Grimes,1338
Curtis Lee,1339
Curtis Salgado,1340
Cut Copy,1341
Cutting Crew,1342
Cymande,1343
Cyndi Lauper,1344
Cyndi Thomson,1345
Cypress Hill,1346
Cypress Spring,1347
Cyrille Aimee,1348
Cæcilie Norby,1349
Cécile McLorin Salvant,1350
César Franck,1351
Cö Shu Nie,1352
D Savage,1353
D'Angelo,1354
D12,1355
DAMIAN,1356
DAVI,1357
DECO*27,1358
DERYL DODD,1359
DEVO,1360
DIIV,1361
DJ Cam Quartet,1362
DJ Disse,1363
DJ Drama,1364
DJ Esco,1365
DJ Food,1366
DJ Jazzy Jeff,1367
